query,median,min,max
q18-v2.4,29.0,29,34
q16-v2.4,24.0,22,29
q24a-v2.4,275.0,228,352
q60-v2.4,67.0,58,90
q23b-v2.4,1078.0,823,1494
q62-v2.4,21.0,16,26
q76-v2.4,56.0,51,70
q8-v2.4,54.0,46,64
q4-v2.4,1071.0,759,1535
q99-v2.4,1.0,1,2
q44-v2.4,71.0,58,84
q52-v2.4,41.0,35,49
q53-v2.4,44.0,38,53
q14b-v2.4,401.0,303,596
q66-v2.4,31.0,28,38
q22-v2.4,44.0,41,59
q79-v2.4,85.0,64,96
q42-v2.4,36.0,31,43
q81-v2.4,56.0,51,64
q5-v2.4,226.0,193,301
q65-v2.4,187.0,151,246
q67-v2.4,1424.0,1045,2256
q78-v2.4,657.0,487,955
q82-v2.4,93.0,77,125
ss_max-v2.4,120.0,88,120
q12-v2.4,18.0,16,20
q23a-v2.4,1441.0,1079,2013
q24b-v2.4,257.0,218,330
q15-v2.4,15.0,13,18
q27-v2.4,80.0,68,96
q25-v2.4,412.0,301,583
q45-v2.4,33.0,29,36
q26-v2.4,7.0,7,8
q46-v2.4,83.0,67,96
q30-v2.4,48.0,43,53
q49-v2.4,182.0,157,226
q34-v2.4,47.0,40,52
q37-v2.4,16.0,16,17
q56-v2.4,70.0,59,82
q39a-v2.4,30.0,23,35
q40-v2.4,23.0,20,25
q6-v2.4,181.0,138,250
q59-v2.4,112.0,79,159
q83-v2.4,29.0,28,32
q61-v2.4,126.0,105,156
q69-v2.4,56.0,46,62
q86-v2.4,21.0,18,24
q74-v2.4,219.0,172,290
q85-v2.4,74.0,74,94
q98-v2.4,57.0,49,57
q9-v2.4,55.0,43,71
q11-v2.4,451.0,325,629
q13-v2.4,151.0,124,194
q19-v2.4,64.0,54,79
q21-v2.4,15.0,14,16
q89-v2.4,48.0,43,58
q91-v2.4,28.0,26,31
q31-v2.4,194.0,161,226
q14a-v2.4,402.0,311,579
q39b-v2.4,26.0,22,28
q2-v2.4,30.0,26,38
q32-v2.4,2.0,2,2
q47-v2.4,106.0,84,138
q33-v2.4,71.0,61,79
q48-v2.4,98.0,82,125
q36-v2.4,58.0,50,68
q41-v2.4,1.0,1,1
q57-v2.4,2.0,2,3
q55-v2.4,38.0,32,47
q63-v2.4,44.0,37,54
q58-v2.4,56.0,48,69
q73-v2.4,45.0,39,53
q70-v2.4,80.0,68,100
q80-v2.4,827.0,623,1114
q84-v2.4,32.0,30,40
q72-v2.4,49.0,37,58
q93-v2.4,577.0,437,802
q94-v2.4,136.0,109,183
q90-v2.4,16.0,15,20
q10-v2.4,59.0,51,67
q92-v2.4,26.0,23,30
q1-v2.4,49.0,48,53
q20-v2.4,2.0,2,2
q28-v2.4,250.0,202,312
q35-v2.4,70.0,58,83
q17-v2.4,397.0,292,553
q29-v2.4,401.0,293,576
q3-v2.4,45.0,41,49
q38-v2.4,90.0,70,122
q43-v2.4,39.0,32,48
q50-v2.4,213.0,161,322
q54-v2.4,70.0,63,82
q64-v2.4,877.0,620,1387
q75-v2.4,241.0,206,300
q77-v2.4,120.0,118,149
q96-v2.4,32.0,30,33
q97-v2.4,168.0,125,170
q51-v2.4,155.0,118,204
q68-v2.4,88.0,73,113
q7-v2.4,81.0,69,99
q71-v2.4,63.0,49,77
q87-v2.4,112.0,90,150
q88-v2.4,185.0,159,221
q95-v2.4,1027.0,679,1222
